Date,Open,High,Low,Close,Volume,Symbol,Asset_Type,Data_Source,Download_Date,Adj_Close,Source,Transform_Date,Data_Start_Date,Data_End_Date,Record_Count,Data_Quality_Score,YFinance_Version,Exchange,Trading_Pair
2021-07-25,2153.95,2343.2,2108.99,2317.31,41101106.9220182,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-24,2139.14,2200.0,2118.21,2153.95,27202618.860063724,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-23,2059.65,2140.6,1993.0,2139.14,25070978.65882363,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-22,1977.72,2077.24,1949.43,2059.65,39971087.38184514,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-21,1802.0,2024.33,1802.0,1977.72,23847084.63366906,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-20,1728.91,1820.04,1718.95,1802.0,48080235.63397864,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-19,1885.54,1918.77,1720.0,1728.91,54133526.575345114,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-18,1982.38,1989.09,1866.73,1885.54,27150187.06236193,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-17,1867.19,1993.73,1845.78,1982.38,28877797.41168227,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-16,1949.43,1965.06,1850.07,1867.19,31307534.210456003,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-15,1979.57,1984.89,1881.23,1949.43,39446863.23153613,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-14,1885.94,2040.57,1885.94,1979.57,11724534.308901466,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-13,2029.98,2046.78,1865.0,1885.94,43298810.887424245,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-12,2163.32,2167.69,2004.68,2029.98,46241812.015972406,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-11,2090.3,2173.05,2081.2,2163.32,17363238.499719184,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-10,2133.38,2158.59,2075.0,2090.3,27549837.423333395,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-09,2120.61,2193.16,2065.54,2133.38,42343381.89860417,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-08,2257.03,2257.03,2046.99,2120.61,44471557.46498519,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-07,2340.15,2408.31,2236.3,2257.03,32744780.548529103,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-06,2238.65,2349.92,2238.65,2340.15,46346956.416486576,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-05,2266.82,2310.0,2158.05,2238.65,30070132.311005063,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-04,2211.54,2389.34,2210.99,2266.82,28773860.162880495,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-03,2132.53,2239.45,2126.61,2211.54,20399044.278778665,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-02,2041.44,2169.22,2016.33,2132.53,26360019.21970715,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-01,2185.02,2234.97,2035.0,2041.44,56507645.96632224,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-30,2126.36,2288.0,2091.26,2185.02,38300657.6675687,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-29,2103.94,2245.92,2099.75,2126.36,41138734.12514948,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
